Year,Cancer_types,Count
2011,breast,4
2012,bladder,2
2012,breast,9
2012,colorectal,1
2012,lung,4
2012,ovarian,1
2012,prostate,4
2013,breast,7
2013,colorectal,1
2013,lung,1
2013,ovarian,1
2013,pancreatic,1
2013,prostate,2
2014,bladder,1
2014,breast,17
2014,colorectal,7
2014,gastric,2
2014,lung,9
2014,melanoma,1
2014,ovarian,2
2014,pancreatic,5
2014,prostate,7
2015,bladder,1
2015,breast,23
2015,colorectal,8
2015,gastric,2
2015,lung,19
2015,melanoma,2
2015,pancreatic,5
2015,prostate,14
2016,bladder,4
2016,breast,33
2016,colorectal,23
2016,gastric,3
2016,lung,55
2016,melanoma,5
2016,ovarian,5
2016,pancreatic,16
2016,prostate,16
2017,bladder,11
2017,breast,41
2017,colorectal,25
2017,gastric,8
2017,lung,108
2017,melanoma,2
2017,ovarian,8
2017,pancreatic,16
2017,prostate,29
2018,bladder,13
2018,breast,52
2018,colorectal,57
2018,gastric,14
2018,lung,128
2018,melanoma,13
2018,ovarian,9
2018,pancreatic,22
2018,prostate,41
2019,bladder,16
2019,breast,68
2019,colorectal,73
2019,gastric,15
2019,lung,153
2019,melanoma,16
2019,ovarian,14
2019,pancreatic,38
2019,prostate,52
2020,bladder,18
2020,breast,112
2020,colorectal,90
2020,gastric,17
2020,lung,177
2020,melanoma,30
2020,ovarian,24
2020,pancreatic,41
2020,prostate,57
2021,bladder,30
2021,breast,116
2021,colorectal,120
2021,gastric,23
2021,lung,241
2021,melanoma,33
2021,ovarian,42
2021,pancreatic,60
2021,prostate,92
2022,bladder,33
2022,breast,142
2022,colorectal,107
2022,gastric,27
2022,lung,221
2022,melanoma,31
2022,ovarian,32
2022,pancreatic,69
2022,prostate,74
2023,bladder,23
2023,breast,139
2023,colorectal,105
2023,gastric,34
2023,lung,223
2023,melanoma,26
2023,ovarian,42
2023,pancreatic,70
2023,prostate,72
2024,bladder,32
2024,breast,137
2024,colorectal,109
2024,gastric,35
2024,lung,221
2024,melanoma,31
2024,ovarian,38
2024,pancreatic,75
2024,prostate,92
